ACCION, COMANDO
parar apache,apachectl -k stop
reiniciar apache, sudo /etc/init.d/apache2 restart || sudo service apache2 restart,?apachectl -k restart
guia instalacion,https://help.ubuntu.com/community/ApacheMySQLPHP
