AUTOR,LIBRO,PAGINA,PAG eBOOK,CMT
Al Kelly, A Book on C,424,[224]
Al Kelly, A Book on C,695
Al Kelly, A Book on C,699
Al Kelly, A Book on C,77,[50],solo menciona que es un keyword



